code,n_tweets,total_anger,total_anticipation,total_disgust,total_fear,total_joy,total_negative,total_positive,total_sadness,total_surprise,total_trust
AK,1,1,63.33333333333332,1,1,1,27.399999999999995,41.76470588235294,33.99999999999999,1,27.56097560975609
AL,6.081749049429658,19.479999999999997,30.333333333333332,40.60000000000001,17.499999999999996,95.37999999999998,56.440000000000005,49.52941176470588,37.3,55.45,34.80487804878049
AR,4.387832699619771,27.399999999999995,26.66666666666666,43.42857142857143,24.571428571428566,68.41428571428571,42.485714285714295,33.4453781512605,33.99999999999999,50.5,48.25783972125434
AZ,16.433460076045627,18.703529411764706,34,21.964705882352945,21.96470588235294,43.39529411764705,34.5435294117647,36.28373702422145,28.95294117647059,32.44705882352942,31.253945480631273
CA,100,23.60718336483932,28.05293005671077,31.317580340264655,19.714555765595463,80.5555765595463,54.89792060491492,46.05804514622485,35.247637051039696,64.1616257088847,35.27502420581861
CO,9.657794676806084,22.01224489795918,34.897959183673464,25.244897959183678,31.306122448979593,56.15714285714285,54.33877551020407,37.0108043217287,37.36734693877551,46.4591836734694,32.48880039820806
CT,5.140684410646387,42.184,42.8,60.400000000000006,40.6,52.47999999999999,80.2,44.09411764705882,72.28,54.46,28.52682926829268
DE,2.6939163498098857,27.399999999999995,26.66666666666666,50.5,33.99999999999999,65.35,47.2,32.05882352941177,42.25000000000001,13.375,9.451219512195124
FL,36.760456273764255,19.876683937823834,24.196891191709845,22.5440414507772,23.5699481865285,57.01450777202072,42.0362694300518,38.143858579701316,31.77720207253886,34.08549222797928,29.93807658283837
GA,26.03231939163498,19.63529411764706,28.823529411764707,25.022058823529413,19.926470588235293,64.40367647058824,42.92941176470589,37.48269896193772,37.39705882352941,38.12500000000001,26.14060258249641
HI,2.88212927756654,25.36923076923077,15.384615384615383,1,23.846153846153843,100,55.83076923076922,59.68325791855204,23.846153846153843,58.115384615384635,46.135084427767346
IA,4.011406844106464,38.51578947368421,24.736842105263158,32.26315789473685,27.052631578947366,14.547368421052626,67.69473684210526,8.049535603715167,47.89473684210526,24.447368421052634,32.644415917843375
ID,1.564638783269962,40.6,63.33333333333332,50.5,33.99999999999999,86.79999999999998,67.00000000000001,51.47058823529412,66.99999999999999,100,39.63414634146341
IL,26.220532319391637,16.60875912408759,12.48175182481752,11.83941605839416,12.562043795620438,81.78978102189781,43.2014598540146,38.78917990553885,24.124087591240876,54.11313868613141,34.78725298201886
IN,7.963878326996198,32.68,28.5,45.550000000000004,30.7,68.5675,68.32000000000001,30.11764705882353,48.025,52.975,29.97560975609756
KS,2.88212927756654,49.73846153846154,91.53846153846153,23.84615384615385,46.692307692307686,60.399999999999984,68.01538461538462,50.72398190045248,61.92307692307693,58.115384615384635,29.418386491557218
KY,3.258555133079848,27.399999999999995,41.33333333333333,20.800000000000004,47.199999999999996,86.79999999999998,74.91999999999999,37.882352941176464,20.8,70.30000000000001,46.878048780487795
LA,6.834600760456273,21.964705882352945,32.05882352941177,27.20588235294118,12.64705882352941,76.70588235294117,45.258823529411764,55.46712802768166,33.02941176470588,62.14705882352941,38.92395982783356
MA,10.787072243346007,35.559999999999995,28.000000000000004,38.800000000000004,35.2,57.15999999999999,60.040000000000006,38.58823529411765,37,44.2,33.26829268292683
MD,7.2110266159695815,29.599999999999998,35.83333333333334,50.5,28.5,90.37499999999999,56,59.558823529411775,47.75,67.00000000000001,53.719512195121936
ME,1.188212927756654,20.8,72.5,1,50.5,97.52499999999999,20.8,85.44117647058823,25.75,1,87.92682926829268
MI,16.809885931558938,21.93793103448276,34.252873563218394,38.551724137931046,28.310344827586206,66.0896551724138,43.78620689655173,49.12778904665314,38.55172413793103,31.724137931034488,32.55677039529015
MN,7.963878326996198,28.720000000000002,20.250000000000004,30.700000000000003,45.550000000000004,52.47999999999999,56.440000000000005,40.30882352941176,35.65,45.550000000000004,37.21951219512194
MO,7.022813688212928,16.84,30.85714285714286,17.971428571428575,20.8,59.834285714285706,28.154285714285717,38.43697478991596,29.285714285714285,39.18571428571429,31.01045296167247
MS,5.517110266159696,6.866666666666666,10.37037037037037,12,4.666666666666666,77.26666666666665,33.266666666666666,56.86274509803922,8.333333333333332,45,16.829268292682922
MT,1.188212927756654,100,45,75.25000000000001,100,97.52499999999999,100,85.44117647058823,100,75.25000000000001,69.8170731707317
NC,23.773764258555133,25.270967741935483,35.241935483870975,22.55645161290323,18.56451612903226,57.04677419354838,39.322580645161295,36.598671726755214,31.338709677419356,41.71774193548387,25.41896144767899
ND,1,1,63.33333333333332,1,1,43.89999999999999,27.399999999999995,100,1,50.5,100
NE,1.564638783269962,1,45,1,1,43.89999999999999,14.199999999999998,32.05882352941177,17.499999999999996,1,3.41463414634146
NH,2.6939163498098857,34.00000000000001,17.5,1,33.99999999999999,43.89999999999999,34.00000000000001,22.352941176470583,25.75,25.75,15.48780487804878
NJ,10.4106463878327,23.41509433962264,25.283018867924525,40.22641509433962,30.88679245283019,51.9943396226415,51.80754716981132,29.67813540510544,51.43396226415094,43.02830188679246,39.40635066728026
NM,4.9524714828897345,20.8,17.5,1,25.75,27.812499999999996,43.9,17.500000000000004,25.75,25.75,27.56097560975609
NV,7.963878326996198,32.68,31.250000000000004,52.975,28.225,84.65499999999999,64.36,40.30882352941176,28.225,49.2625,39.03048780487804
NY,53.134980988593156,15.708571428571428,18.28571428571428,23.275000000000002,16.910714285714285,85.5742857142857,40.88285714285714,48.836134453781504,24.335714285714282,43.42857142857143,34.373693379790936
OH,14.363117870722432,19.194594594594594,24.18918918918919,49.16216216216217,30.432432432432435,61.871621621621614,53.44324324324324,41.76470588235294,38.45945945945946,41.135135135135144,34.0870138431114
OK,4.199619771863118,24.759999999999998,34,15.850000000000001,40.6,52.47999999999999,44.56,38.85294117647059,25.75,38.12500000000001,15.48780487804878
OR,11.539923954372624,23.82033898305085,31.016949152542374,31.20338983050848,26.169491525423727,64.2593220338983,39.92881355932204,39.79062811565304,22.813559322033896,33.72033898305085,34.518396031417936
PA,17.750950570342205,20.8,27.065217391304355,26.826086956521745,24.67391304347826,55.55760869565216,44.90434782608696,39.232736572890026,24.67391304347826,41.35326086956522,33.59756097560975
RI,2.129277566539924,18.6,75.55555555555557,1,1,43.89999999999999,36.2,28.82352941176471,56,34.00000000000001,35.609756097560975
SC,6.64638783269962,20.2,43.333333333333336,19.000000000000004,21.999999999999996,79,37,57.647058823529406,25,50.5,36.341463414634134
SD,1.188212927756654,20.8,45,75.25000000000001,50.5,33.175,40.6,27.205882352941178,75.25,38.12500000000001,33.59756097560975
TN,18.880228136882128,8.273469387755103,14.69387755102041,19.183673469387756,19.183673469387756,64.03673469387753,31.710204081632654,45.33013205282113,18.1734693877551,38.8826530612245,25.83623693379791
TX,52.38212927756655,17.069565217391307,18.29710144927536,26.826086956521745,17.141304347826086,69.54673913043477,49.78260869565217,40.92071611253198,28.978260869565215,55.342391304347835,31.235418875927888
UT,2.317490494296578,16.84,1,1,1,26.739999999999995,24.759999999999998,1,10.9,30.700000000000003,1
VA,9.093155893536123,30.2695652173913,37.826086956521735,33.28260869565218,31.1304347826087,48.56304347826086,54.37391304347826,44.29667519181586,28.978260869565215,36.5108695652174,37.53446447507953
VT,1,1,63.33333333333332,1,1,1,1,61.176470588235276,1,1,75.85365853658534
WA,15.68060836501901,27.399999999999995,25.308641975308642,26.66666666666667,23,55.022222222222204,59.666666666666664,28.82352941176471,46.22222222222223,50.5,28.455284552845526
WI,8.716730038022813,27.999999999999996,32.49999999999999,28.000000000000004,16.75,74.12499999999999,54.99999999999999,44.411764705882355,41.5,61.750000000000014,36.89024390243902
WV,2.88212927756654,25.36923076923077,40.769230769230774,69.53846153846155,54.30769230769231,50.5,37.55384615384616,32.80542986425339,46.692307692307686,12.423076923076925,29.418386491557218
WY,1,27.399999999999995,100,100,1,43.89999999999999,53.79999999999999,22.352941176470583,66.99999999999999,50.5,27.56097560975609
